CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/28/2016,11:20,,,40.72158,-73.94167,"(40.72158, -73.94167)",Bqe                             ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3446578,4 dr sedan,,,,
05/28/2016,16:10,BRONX,10451,,,,MAJOR DEEGAN EXPRESSWAY         ,EAST 138 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3448918,4 dr sedan,4 dr sedan,,,
05/28/2016,2:59,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3446875,Sedan,JEEP,,,
05/28/2016,8:00,,,,,,,,Bradhurst                               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3446916,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,0:00,BRONX,10473,40.601036,-73.74764,"(40.601036, -73.74764)",,,750       ZEREGA AVENUE                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3451252,4 dr sedan,,,,
05/28/2016,16:30,BROOKLYN,11208,40.666485,-73.8621,"(40.666485, -73.8621)",,,961       ELDERTS LANE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3446773,4 dr sedan,,,,
05/28/2016,9:03,MANHATTAN,10001,40.74453,-73.98888,"(40.74453, -73.98888)",WEST 27 STREET                  ,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3447921,AMBUL,4 dr sedan,,,
05/28/2016,18:00,MANHATTAN,10040,40.861256,-73.925674,"(40.861256, -73.925674)",NAGLE AVENUE                    ,THAYER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3448812,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/28/2016,9:30,BRONX,10451,40.819786,-73.92803,"(40.819786, -73.92803)",EAST 150 STREET                 ,WALTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3453173,4 dr sedan,,,,
05/28/2016,19:00,QUEENS,11373,40.73403,-73.872025,"(40.73403, -73.872025)",QUEENS BOULEVARD                ,90 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3452084,4 dr sedan,4 dr sedan,,,
